reference_type,author,year,title,keyword,abstract
thesis,"Davidson, M. S. ",1984,Computer assisted instruction in arithmetic for specific learning disabilities students in the elementary school,drill vs practice activities during computer assisted instruction.//computation skills.//3rd–5th graders with learning disabilities.//Computer Assisted Instruction.//Elementary School Students.//Learning Disabilities.//Mathematical Ability,"The purpose of this study was to determine if computer assisted instruction via drill and practice activities would significantly improve the computation skills of students with specific learning disabilities. Twenty-six students with specific learning disabilities in grades 3 through 5 received an average of 12 minutes per day of computer assisted instruction in arithmetic. A control group of 12 students with specific learning disabilities in grades 3 through 5 practiced an average of 12 minutes a day with computer generated worksheets. The supplemental instruction was provided for 8 weeks. Students were tested at 2-week intervals with criterion referenced tests designed to measure computational skills in addition, subtraction, multiplication, and division. A nonparametric statistical design based on ranks was employed for the data analysis because the sample size was small and from a nonnormal population. The results of the statistical analysis indicated that significant differences existed in posttest scores of grade 3 experimental and control groups. The comparison within grades 4 and 5 was not statistically significant. A clinical investigation was also conducted. Results of this investigation indicated that computer assisted instruction resulted in substantial increases in arithmetic achievement for students in grades 3, 4, and 5. Students in the experimental groups identified through psychoeducational assessment as having a noticeable strength in the visual modality achieved substantial increases in arithmetic achievement in the first 4 weeks of the study. It was also found that rote learning of arithmetic facts was increased significantly in the experimental groups."
journal_article,"Halpern, N. ",1984,Artificial intelligence and the education of the learning disabled,"duplication of computer logic.//problem solving.//learning disabled students.//Child.//Computers.//Education, Special.//Humans.//Learning Disorders.//Software.//Artificial Intelligence.//Learning Disabilities.//Students","Because learning-disabled students are often unable to follow logical sequences, it is useful for the teacher to break down problems into component parts, as if programming a computer, and to have the student mimic the computer's logic. This approach can be applied to verbal math problems, pattern and letter recognition, and geometric analogies. This process can alert the teacher to the intuitive problem-solving steps that the student may omit. Teaching students to write simple programs can also foster logical thinking and provide students with confidence in their basic skills. "
journal_article,"Lynd, C.",1984,Guide to Software for Special Education,Computer Assisted Instruction.//Computer Oriented Programs.//Computer Software.//Disabilities.//Educational Resources.//Elementary Secondary Education.//Information Sources.//Microcomputers.//Reference Materials.//Special Education.//Software Reviews,"Reports on computer-assisted instruction materials for use in special education settings (readiness level, reading, math, home and school, remedial/secondary, career/vocational education, programing/computer literacy, adaptive communication devices); professional application software (authoring systems, administration, testing); and software reference sources. Publications that review courseware and a directory of software companies are appended. "
thesis,"Mason, M. T. ",1984,A longitudinal study of the effects of computer assisted instruction on the mathematics achievement of the learning disabled and educable mentally retarded,computer assisted instruction.//mathematics achievement.//learning disabled & educable mentally retarded kindergartners through 12th graders.//Learning Disabilities.//Special Education.//Longitudinal Studies.//Students.//Intellectual Development Disorder,"A study was conducted during the 1980-82 school years to assess the effectiveness of microcomputer assisted instruction in improving the mathematical skills of Educable Mentally Handicapped students and students with Learning Disabilities, enrolled in Kindergarten through Twelfth Grade. Following the training of their teachers and after they had completed pretests (the Mathematics sections of the ITBS, WRAT, PIAT and a Basic Facts Test), the students in four Educable Mentally Handicapped and five Learning Disabilities classrooms used Apple II Plus microcomputers for a minimum of a half hour per week for approximately the next year and one-half. In order to develop each experimental student's skills to compensate for those capabilities which were absent or diminished due to his handicapping condition and to provide compensatory tutoring as needed, computer drills, tutorials, and other programs were chosen by the Special Education teacher after consultation with that student's regular teacher. Non-computer control groups of similar structure and composition to the experimental groups were also monitored. Posttesting was concluded in May of 1982. The overall design was conceived as a two-way Factorial ANOVA with one between factor (treatment) and one within factor (time). The following conclusions were drawn: After being trained, both Learning Disabilities and Educable Mentally Handicapped students of all levels, K - 12, are capable of using Computer Assisted Instruction with a minimum of supervision. Most students remained interested and enthusiastic about computer use even after the novelty effect had worn off, even after two years of use. Parents were very supportive of computer use by their handicapped children. The effects of computer use on mathematics achievement was generally positive, with 15 of 17 significant TREATMENT * TIME interactions found favoring the computer using Experimental Groups. The Experimental Groups made significantly more gains (p < .001) than the Control Groups at all but the senior high level. Effects were found when students used the computer at least a half hour per week. The attitude towards computer use of the teacher and his commitment to it were important factors in its effectiveness. The use of computers with Learning Disabilities and Educable Mentally Handicapped students exposed no detrimental effects; in fact, it appears to offer great promise for the future."
thesis,"Powell-Rahlfs, K. ",1984,Computer assisted and traditional instruction of multiplication facts with learning disabled elementary students,computer assisted instruction.//mathematics achievement.//learning disabled elementary school students.//Elementary School Students.//Learning Disabilities.//Mathematics Education,"Research has indicated that computer assisted instruction can provide many elements of instruction necessary for aiding the learning disabled student. The microcomputer can provide repetition, it provides motivation and immediate feedback, is an effective means of increasing retention, and is more effective with low ability students than average or high ability students. The purpose of the study was to determine the effects of different forms of computer assisted instruction on elementary learning disabled students' knowledge multiplication facts. The problem was approached by exposing learning disabled students, to one of three methods of treatment (a computer assisted drill and practice program, a computer assisted instructional game, and flashcards), or to the control group. Treatment was fifteen minutes per day for five days. A pretest was administered prior to treatment, a posttest and an attitude inventory was administered immediately following treatment, and a second posttest was administered four days following treatment. Student attitude toward school, math, microcomputers, and themselves were measured by administration of semantic differential attitude inventory. Analysis of data using a repeated measures, analysis of covariance, revealed no significant differences among the four groups in achievement or in retention of material, however, delayed posttest scores for all groups were greater than scores on the posttest immediately following treatment. The data detected no significant differences in attitude among the four groups. Although there were no significant differences in attitude, a graph of the responses revealed an interesting pattern. All subjects rated math the highest of the four concepts, and attitude toward self was rated second highest. With the exception of the control group, the lowest rated concept was school. The control group rated microcomputers lowest. The following conclusions were made: (1) Achievement gains for the three experimental and the control groups do not appear to differ. (2) Administration of the pretest, posttest 1, posttest 2, and the attitude inventory may have had a significant impact on achievement. (3) Student attitude toward school, math, microcomputers, or themselves do not differ significantly."
journal_article,"Torgesen, J. K.",1984,Instructional uses of microcomputers with elementary aged mildly handicapped children,computer assisted instruction.//basic academic skills in reading & math.//educable mentally retarded & learning disabled & emotionally impaired & culturally different elementary aged children.//Elementary School Students.//Mathematics Education.//Reading Education.//Special Education Students.//Emotional Disturbances.//Learning Disabilities.//Intellectual Development Disorder,"The goal of this article is to evaluate what we know about the instructional use of computers with young children and to suggest some priorities for their use with mildly handicapped children. While it is clear that computers can be programmed to provide effective instructions in a variety of skills, with mildly handicapped children they appear particularly suited to the delivery of highly motivational, speed oriented practice on basic academic skills in reading and math. Examples of currently available software are presented and evaluated in light of this priority, and needs for the future in terms of teacher training, service delivery systems, and hardware and software developments are disucssed."
journal_article,"Trifiletti, J. J., Frith, G. H., & Armstrong, S. ",1984,Microcomputers versus Resource Rooms for LD Students: A Preliminary Investigation of the Effects on Math Skills,Computer Assisted Instruction.//Elementary Secondary Education.//Learning Disabilities.//Mathematics Instruction.//Problem Solving.//Resource Room Programs.//Skill Development.//SPARK 80 Computerized Mathematics System,Mid-year assessment produced significantly greater results in mastered skills and problem solving by 12 learning disabled students with 40 minutes daily instruction in the SPARK-80 Computerized Mathematics System on Radio Shack terminals as opposed to nine learning disabled students with traditional resource room mathematics instruction by experienced teachers. 
journal_article,"Vickers, M. ",1984,Reset your button and drive into computer-assisted math,use of computer in teaching mathematics.//mathematical abilities.//learning disabled junior high school students.//Computer Assisted Instruction.//Learning Disabilities.//Mathematical Ability.//Mathematics Education.//Special Education.//Junior High School Students,"The author, a junior high school teacher, describes her initial experience in using a computer to help 6 students with weak mathematical abilities. Ss completed the mathematical portions of the Group Diagnostic Reading Aptitude and Achievement Test and the Peabody Individual Achievement Test before and after their computer experiences of 12 sessions. Results show improvement for all Ss in all mathematical abilities."
thesis,"Christensen, C. A. ",1985,The effects of game format in computerized drill and practice on development of automaticity in single digit addition for learning disabled students,computerized drill with vs without practice & game format.//automaticity development in addition.//learning disabled students.//Computer Assisted Instruction.//Games.//Learning Disabilities.//Practice.//Students.//Attention.//Mathematics Achievement,"Although research on learning disabilities has been dominated by investigation of student's reading skills, studies of the learning disabled population have found that a large number of students display achievement deficits in math as well as reading. One possible cause of learning problems in both reading and math is failure of learning disabled students to develop automaticity in basic skills. Automaticity is acquired through repeated practice. As learning disabled students appear to experience difficulty in developing automated skills, it was necessary to either provide them with more opportunities to practice basic skills or with more effective and efficient drill and practice. The microcomputer is ideally suited to provide optimal conditions for practice in basic math skills. Moreover, investigations of microcomputer use in classrooms suggests that drill and practice games are predominately used for this purpose. This study investigated the effectiveness of embedding a drill and practice task within a game environment. Thirty learning disabled and 30 nondisabled students were identified who had conceptual understanding of addition but had not achieved automaticity in addition facts. Students were trained on either a drill and practice game or a plain drill program. Development of automaticity was assessed on three modes of responding--oral, computer keyboard, and written response. Significant reduction in latency of response for each group occurred over the course of the training program. Program effects for nondisabled students varied across three dependent measures, however learning disabled students were consistently disadvantaged by training on the drill and practice game. It was hypothesized that learning disabled students' performance could be attributed to attentional deficits, particularly selective attention problems. It appears that the game provided a sufficiently distracting environment to significantly interfere with learning disabled students' skill acquisition. While computers have the potential to provide excellent conditions for drill and practice, care must be taken in evaluating programs which emphasize sophisticated graphic embellishments rather than instructional quality. Such programs could have deleterious effects on the skill acquisition of learning disabilities students."
thesis,"Cola, V. S. ",1985,Using selected computer games as an instructional strategy with learning disabled adolescents to improve achievement in arithmetic facts,computer games as instructional strategy.//achievement in basic multiplication & division.//learning disabled high school students.//Computer Assisted Instruction.//High School Students.//Learning Disabilities.//Mathematics (Concepts).//Mathematics Achievement.//Games,The use of selected computer games was studied as an intervention technique in an attempt to increase achievement of learning disabled adolescents in basic multiplication and division facts. A multiple baseline design across subjects with a follow-up was employed in an applied behavioral setting. The subjects were two female and two male learning disabled adolescents enrolled in a public high school. Achievement was measured using investigator-made tests. The number of correct responses made during baseline and intervention phases were recorded on graphs. Results indicated that selected computer games were effective as an instructional strategy for these learning disabled students who had poor knowledge of multiplication and division facts. The students demonstrated improved performance and maintained this performance level thirty days after the intervention was discontinued. It was concluded that selected computer games provide a viable supplement to classroom instruction as a means of improving learning disabled adolescents' achievement in multiplication and division facts.
journal_article,"Horton, S.",1985,Computational rates of educable mentally retarded adolescents with and without calculators in comparison to normals,teaching pencil & paper vs calculator algorithms.//mathematics performance.//educable mentally retarded 12–16 yr olds.//Digital Computers.//Mathematics Achievement.//Mathematics Education.//Teaching Methods.//Intellectual Development Disorder,"Examined the effects of 2 interventions on the computational performance of 8 educable mentally retarded 12–16 yr olds who completed selected addition, subtraction, multiplication, and division problems. One intervention presented the pencil and paper algorithm for each class of problems, while the other presented the calculator algorithm. For comparison, the computational performance of 8 regular class peers, who completed identical problems through a pencil and paper pre-baseline test, was also sampled. The calculator treatment produced a marked increase in the correct computational performance of the educable mentally retarded Ss over baseline measures for each of the 4 classes of problems, while the pencil and paper treatment failed to improve performance. By the use of calculators, educable mentally retarded Ss were able to complete relatively complex arithmetic problems with greater accuracy than the nonretarded Ss without calculators."
journal_article,"Palmer, J. T., Hendel, A., & Dempsey, B.",1985,The Micro-Computer and the Learning Disabled: A Useful Tool,Computer Assisted Instruction.//Courseware.//Elementary Education.//Learning Disabilities.//Resource Room Programs,"Practical guidelines are offered to help the teacher integrate microcomputers into a resource room environment for learning disabled students. The author lists basic software packages that are reported to provide proven ""starter paks"" in language, reading, and mathematics at specified grade levels. "
journal_article,"Peterson, J., Heistad, D., Peterson, D., & Reynolds, M. ",1985,Montevideo Individualized Prescriptive Instructional Management System,"Achievement.//Child.//Computers.//Curriculum.//Education, Special.//Humans.//Minnesota",This article describes a computer-based measurement system for monitoring student progress through an individualized math and reading curriculum. Time to complete units of instruction is used as a metric for assessing individual goals and for normative comparisons. An investigation was conducted to determine whether special education and Chapter 1 students could be identified in reference to the number of units of instruction completed by the end of a school year. Results indicate that a cutoff at the 20th percentile of the distribution for each grade correctly identified 100% of the special education students. The implications of adopting a curriculum-based screening system are discussed.
journal_article,"Chiang, B.",1986,Initial learning and transfer effects of microcomputer drills on LD students' multiplication skills,Arithmetic.//Computer assisted instruction in mathematics.//Drills (Education).//Study & teaching of multiplication.//Teaching aids.//Transfer of training.//Study & teaching of arithmetic.//Special education,"Although application of microcomputer-assisted instruction with learning disabled students is rapidly expanding, only limited research is available on the efficacy of such instruction. The primary purpose of this single-subject design study was to investigate whether learning of multiplication tables via computer programs transfers to paper-and-pencil tasks. Three male and three female fourth-grade learning disabled students participated in the three phases of the study: baseline, microcomputer-assisted instruction, and transfer. Results of the daily 4-minute timings of each subject's multiplication facts indicated that about 12 days' drill and practice on a computer yielded an average gain of 4.7 and 6.1 facts per minute for the girls and boys, respectively, as evidenced by their worksheet performance. Implications for using microcomputer-assisted instruction with learning disabled students are discussed."
journal_article,"Kelly, B., Carnine, D., Gersten, R., & Grossen, B. ",1986,The Effectiveness of Videodisc Instruction in Teaching Fractions to Learning-Disabled and Remedial High School Students,Fractions.//High Schools.//Instructional Design.//Instructional Effectiveness.//Interactive Video.//Learning Disabilities.//Mathematics Curriculum.//Mild Disabilities.//Remedial Instruction.//Videodisks,"The study compared the effectiveness of an interactive videodisc curriculum incorporating principles of instructional design with a traditional basal curriculum to teach basic fraction skills to 28 high school students, including 17 mildly handicapped students. The videodisc curriculum's superiority at posttest and at two-week maintenance were attributed to better instructional design. "
thesis,"Ponzetti-Dyer, N. E. ",1986,The effects of reward on performance and arousal of children with learning disabilities during computer and tutor administered mathematics tasks,reward & computer vs tutor administration.//mathematics performance.//learning disabled children.//Computer Assisted Instruction.//Elementary School Students.//Learning Disorders.//Mathematical Ability.//Rewards,"The question of whether learning disabilities in children are a manifestation of a failure to perform due to lack of motivation or a reflection of a deficit in skills has yet to be answered. Research which has focused on providing rewards to enhance performance of learning disabled children is mixed. Some studies found improved performance with reward while others report that learning disabled children made more interstimulus and redundant responses under reward contingencies. There are a number of problems in comparing and evaluating past research, including issues around heterogeneity of subjects, wide variation in task complexity and the fact that the majority of studies confound institution of reward with practice effects. This dissertation is a study of the effects of reward on performance of a mathematics task by learning disabled children while working in two different modalities of task presentation, with a computer and with a tutor. Physiological measures, specifically skin conductance level skin conductance level and skin conductance responses were employed as an index of arousal, thought to be a further indication of motivation. Performance and arousal measures were compared for the tutor versus the computer modalities. The studies were run consecutively. Subjects were learning disabled children who were attending an intensive after school remedial program at the State University of New York at Binghamton. The task was a simple drill of single digit multiplication or addition, expanding upon competency of the subjects. The computer presentation of the task consisted of colorful video-game type format. Identical problems were presented by the tutor on flashcards. All subjects worked with both the tutor and computer every session with order counterbalanced. In order to decrease the influence of practice a performance task was employed and a number of sessions were conducted over days. Results are discussed in terms of the positive role of external motivators in eliciting optimum performance from learning disabled children and implications for academic program planning. Finally the influence of social demand characteristics which appeared to be operating in the tutor modality for these subjects is contrasted with conflicting findings for more socially impaired (autistic) subjects."
journal_article,"Cosden, M. A., & English, J. P.",1987,"The effects of grouping, self esteem, and locus of control on microcomputer performance and help seeking by mildly handicapped students",grouping & self esteem & academic locus of control.//mathematics performance & help seeking using problem solving programs.//learning disabled & mildly mentally retarded 3rd–6th graders.//Computer Assisted Instruction.//Learning Disabilities.//Mathematics Achievement.//Intellectual Development Disorder.//Elementary School Students.//Group Structure.//Internal External Locus of Control.//self-Esteem,"40 learning handicapped and 27 non-learning handicapped  3rd–6th graders were administered the Piers-Harris Children's Self Concept Scale and an intellectual achievement responsibility questionnaire. Ss' performance on a math problem-solving program was assessed in 2 studies. Outcome measures included (1) the level of difficulty at which Ss selected to work, (2) use of a program help command, and (3) response accuracy with and without help. Neither problem selections nor performance accuracy varied as a function of group configuration. Personal characteristics influenced problem selections, help seeking, and accuracy in anticipated directions but not consistently. More consistent patterns were noted as a function of initial student competency in math. "
journal_article,"Goldman, S. R., & Pellegrino, J. W.",1987,Information processing and educational microcomputer technology: Where do we go from here?,microcomputer technology.//mathematics & reading & problem solving & metacognition.//learning disabled students.//Child.//Cognition.//Computer-Assisted Instruction.//Humans.//Learning Disorders.//Microcomputers.//Practice (Psychology).//Problem Solving.//Computer Assisted Instruction.//Mathematics Education.//Reading Education.//Learning Disabilities.//Special Education Students,"Discusses the relationship between microcomputer technology and the instructional needs of learning disabled students. Extended practice and its role in the development of increased automaticity of basic information processing skills are stressed. Examples are presented of empirical research employing extended, microcomputer based, daily practice on basic mathematics and reading tasks with learning disabled students. Problem solving and metacognitive activities are also explored. The teacher, microcomputer, and learner are envisaged as 3 integrally related aspects of the microeducational environment. It is suggested that, although microcomputers do not now offer ways of dealing with metacognitive needs of the learning disabled, the future may allow a partnership of teacher and microcomputer in constructing microeducational learning environments. "
journal_article,"Hedley, C. N.",1987,What's new in software? Curriculum programs for learning disabled students,software for computer assisted instruction.//learning disabled students.//Computer Assisted Instruction.//Computer Software.//Learning Disabilities,"Describes computer software programs for computer-assisted instruction suitable for use with learning disabled students. Computer software programs developed in 1987–1988 are available in subject areas such as social studies, mathematics, science, language arts, reading and literature, and early childhood education and development. "
journal_article,"Howell, R., Sidorenko, E., & Jurica, J. ",1987,The effects of computer use on the acquisition of multiplication facts by a student with learning disabilities,"software &/vs direct teacher intervention.//acquisition of multiplication facts.//16 yr old male with mathematics disability.//Adolescent.//Computers.//Education, Special.//Humans.//Learning Disorders.//Male.//Mathematics.//Microcomputers.//Software.//Computer Assisted Instruction.//High School Students.//Learning Disabilities.//Mathematics Education.//Teaching Methods.//Mathematics (Concepts)","Conducted 2 investigations of a 16-yr-old male with a mathematics disability to determine the effectiveness of software use alone, or in combination with teacher intervention, on the acquisition of multiplication facts. The types of software were drill-and-practice and tutorial based. The teacher intervention involved determination of the S's present problem solution strategy, the teaching of an alternative solution strategy called 'The Rule of Nines,' and the presentation and use of computer software with the S. Results indicate an initial increase in correct responding and a corresponding decrease in the amount of time in response for both drill-and-practice and tutorial software, but this effect was transitory. When the software use was combined with directed teacher interventions, S was able to unlearn the ineffective strategy, learn a new solution strategy, and use the software to practice and incorporate new knowledge and skills. "
journal_article,"Lieber, J., & Semmel, M. I.",1987,The relationship between group size and performance on a microcomputer problem-solving task for learning handicapped and nonhandicapped students,microcomputer mathematics problem solving.//learning handicapped & nonhandicapped 4th–6th graders working in pairs vs alone.//Computer Assisted Instruction.//Dyads.//Learning Disabilities.//Problem Solving.//Special Education.//Elementary School Students.//Mathematics Education,"20 learning-handicapped and 20 non-learning-handicapped 4th–6th grade boys participated for 10 min, 3 times/week for a 4-wk period on a mathematics problem solving task. Each S worked individually, with an learning-handicapped partner, and with an non-learning-handicapped partner. Results indicate that it was as effective for Ss to work with a partner at the computer as it was for them to work alone. Task engagement was also similar for Ss working in dyads or individually. Learning-handicapped Ss solved more difficult problems correctly on a paper-and-pencil test following a computer session in which they worked with a partner. "
journal_article,"Hasselbring, T. S., Goin, L. I., & Bransford, J. D. ",1988,Developing math automaticity in learning handicapped children: the role of computerized drill and practice,Education of learning disabled children.//Automaticity (Learning process).//Arithmetic.//Drills (Education).//Mathematics education.//Education.//Learning disabilities.//Computer assisted instruction.//Educational technology.//Counting.//Problem solving.//Children,"The article examines the role of computerized drill and practice in developing math automaticity in learning handicapped children. Most children with mild learning handicaps are deficient in basic math skills, and these deficits constitute a major obstacle to their overall success in mathematics. Practice that allows students to use counting strategies for solving problems does nothing but strengthen student's use of counting strategies and does little to move the students toward a state of automaticity. The authors believed that children with learning handicaps can attain automaticity at a level equal to their normal peers if care is taken to provide these children with appropriate instruction prior to placing them in drill and practice activities."
